0|(28.15949, 2.34438, 54.97044)|move
-1|(28.1559, 2.34438, 54.89052)|move
-1|(28.15232, 2.34438, 54.8106)|move
-1|(28.14873, 2.34438, 54.73069)|move
-1|(28.14515, 2.34438, 54.65077)|move
-1|(28.14156, 2.34438, 54.57085)|move
-1|(28.13797, 2.34438, 54.49093)|move
-1|(28.13439, 2.34438, 54.41101)|move
-1|(28.1308, 2.34438, 54.3311)|move
-1|(28.12722, 2.34438, 54.25118)|move
-1|(28.12363, 2.34438, 54.17126)|move
-1|(28.12004, 2.34438, 54.09134)|move
-1|(28.11646, 2.34438, 54.01143)|move
-1|(28.11287, 2.34438, 53.93151)|move
-1|(28.10929, 2.34438, 53.85159)|move
-1|(28.1057, 2.34438, 53.77167)|move
-1|(28.10212, 2.34438, 53.69175)|move
-1|(28.09853, 2.34438, 53.61184)|move
-1|(28.09494, 2.34438, 53.53192)|move
-1|(28.09136, 2.34438, 53.452)|move
-1|(28.08777, 2.34438, 53.37208)|move
-1|(28.08419, 2.34438, 53.29216)|move
-1|(28.0806, 2.34438, 53.21225)|move
-1|(28.07701, 2.34438, 53.13233)|move
-1|(28.07343, 2.34438, 53.05241)|move
-1|(28.06984, 2.34438, 52.97249)|move
-1|(28.06626, 2.34438, 52.89257)|move
-1|(28.06267, 2.34438, 52.81266)|move
-1|(28.05909, 2.34438, 52.73274)|move
-1|(28.0555, 2.34438, 52.65282)|move
-1|(28.05191, 2.34438, 52.5729)|move
-1|(28.04833, 2.34438, 52.49298)|move
-1|(28.04474, 2.34438, 52.41307)|move
-1|(28.04115, 2.34438, 52.33315)|move
-1|(28.03835, 2.34438, 52.27075)|move
-1|(28.03477, 2.34438, 52.19083)|move
-1|(28.03118, 2.34438, 52.11092)|move
-1|(28.0276, 2.34438, 52.031)|move
-1|(28.02401, 2.34438, 51.95108)|move
-1|(28.02042, 2.34438, 51.87116)|move
-1|(28.01684, 2.34438, 51.79124)|move
-1|(28.01325, 2.34438, 51.71133)|move
-1|(28.00967, 2.34438, 51.63141)|move
-1|(28.00608, 2.34438, 51.55149)|move
-1|(28.00249, 2.34438, 51.47157)|move
-1|(27.99891, 2.34438, 51.39165)|move
-1|(27.99532, 2.34438, 51.31174)|move
-1|(27.99174, 2.34438, 51.23182)|move
-1|(27.98815, 2.34438, 51.1519)|move
-1|(27.98457, 2.34438, 51.07198)|move
-1|(27.98098, 2.34438, 50.99207)|move
-1|(27.97739, 2.34438, 50.91215)|move
-1|(27.97381, 2.34438, 50.83223)|move
-1|(27.97022, 2.34438, 50.75231)|move
-1|(27.96664, 2.34438, 50.67239)|move
-1|(27.96305, 2.34438, 50.59248)|move
-1|(27.95947, 2.34438, 50.51256)|move
-1|(27.95588, 2.34438, 50.43264)|move
-1|(27.95229, 2.34438, 50.35272)|move
-1|(27.94871, 2.34438, 50.2728)|move
-1|(27.94512, 2.34438, 50.19289)|move
-1|(27.94154, 2.34438, 50.11297)|move
-1|(27.93795, 2.34438, 50.03305)|move
-1|(27.93436, 2.34438, 49.95313)|move
-1|(27.93078, 2.34438, 49.87321)|move
-1|(27.92719, 2.34438, 49.7933)|move
-1|(27.92361, 2.34438, 49.71338)|move
-1|(27.92002, 2.34438, 49.63346)|move
-1|(27.91644, 2.34438, 49.55354)|move
-1|(27.91285, 2.34438, 49.47363)|move
-1|(27.90926, 2.34438, 49.39371)|move
-1|(27.90568, 2.34438, 49.31379)|move
-1|(27.90209, 2.34438, 49.23387)|move
-1|(27.89851, 2.34438, 49.15395)|move
-1|(27.89492, 2.34438, 49.07404)|move
-1|(27.89133, 2.34438, 48.99412)|move
-1|(27.88775, 2.34438, 48.9142)|move
-1|(27.88416, 2.34438, 48.83428)|move
-1|(27.88058, 2.34438, 48.75436)|move
-1|(27.87699, 2.34438, 48.67445)|move
-1|(27.87341, 2.34438, 48.59453)|move
-1|(27.86982, 2.34438, 48.51461)|move
-1|(27.86623, 2.34438, 48.43469)|move
-1|(27.86265, 2.34438, 48.35477)|move
-1|(27.85906, 2.34438, 48.27486)|move
-1|(27.85548, 2.34438, 48.19494)|move
-1|(27.85189, 2.34438, 48.11502)|move
-1|(27.8483, 2.34438, 48.0351)|move
-1|(27.84472, 2.34438, 47.95518)|move
-1|(27.84113, 2.34438, 47.87527)|move
-1|(27.83755, 2.34438, 47.79535)|move
-1|(27.83396, 2.34438, 47.71543)|move
-1|(27.83038, 2.34438, 47.63551)|move
-1|(27.82679, 2.34438, 47.5556)|move
-1|(27.8232, 2.34438, 47.47568)|move
-1|(27.81962, 2.34438, 47.39576)|move
-1|(27.81603, 2.34438, 47.31584)|move
-1|(27.81245, 2.34438, 47.23592)|move
-1|(27.80886, 2.34438, 47.15601)|move
-1|(27.80527, 2.34438, 47.07609)|move
-1|(27.80169, 2.34438, 46.99617)|move
-1|(27.7981, 2.34438, 46.91625)|move
-1|(27.79452, 2.34438, 46.83633)|move
-1|(27.79093, 2.34438, 46.75642)|move
-1|(27.78735, 2.34438, 46.6765)|move
-1|(27.78376, 2.34438, 46.59658)|move
-1|(27.78017, 2.34438, 46.51666)|move
-1|(27.77659, 2.34438, 46.43674)|move
-1|(27.773, 2.34438, 46.35683)|move
-1|(27.76942, 2.34438, 46.27691)|move
-1|(27.76583, 2.34438, 46.19699)|move
-1|(27.76225, 2.34438, 46.11707)|move
-1|(27.75866, 2.34438, 46.03716)|move
-1|(27.75507, 2.34438, 45.95724)|move
-1|(27.75149, 2.34438, 45.87732)|move
-1|(27.7479, 2.34438, 45.7974)|move
-1|(27.74432, 2.34438, 45.71748)|move
-1|(27.74073, 2.34438, 45.63757)|move
-1|(27.73714, 2.34438, 45.55765)|move
-1|(27.73355, 2.34438, 45.47773)|move
-1|(27.72997, 2.34438, 45.39781)|move
-1|(27.72638, 2.34438, 45.31789)|move
-1|(27.7228, 2.34438, 45.23798)|move
-1|(27.71921, 2.34438, 45.15806)|move
-1|(27.71562, 2.34438, 45.07814)|move
-1|(27.71204, 2.34438, 44.99822)|move
-1|(27.70845, 2.34438, 44.9183)|move
-1|(27.70486, 2.34438, 44.83839)|move
-1|(27.70127, 2.34438, 44.75847)|move
-1|(27.6998, 2.34438, 44.7256)|move
-1|(27.69621, 2.34438, 44.64568)|move
-1|(27.69263, 2.34438, 44.56577)|move
-1|(27.68904, 2.34438, 44.48585)|move
-1|(27.68546, 2.34438, 44.40593)|move
-1|(27.68187, 2.34438, 44.32601)|move
-1|(27.67829, 2.34438, 44.24609)|move
-1|(27.6747, 2.34438, 44.16618)|move
-1|(27.67111, 2.34438, 44.08626)|move
-1|(27.66753, 2.34438, 44.00634)|move
-1|(27.66394, 2.34438, 43.92642)|move
-1|(27.66036, 2.34438, 43.8465)|move
-1|(27.65677, 2.34438, 43.76659)|move
-1|(27.65318, 2.34438, 43.68667)|move
-1|(27.6496, 2.34438, 43.60675)|move
-1|(27.64601, 2.34438, 43.52683)|move
-1|(27.64243, 2.34438, 43.44691)|move
-1|(27.63884, 2.34438, 43.367)|move
-1|(27.63526, 2.34438, 43.28708)|move
-1|(27.63167, 2.34438, 43.20716)|move
-1|(27.62808, 2.34438, 43.12724)|move
-1|(27.6245, 2.34438, 43.04733)|move
-1|(27.62091, 2.34438, 42.96741)|move
-1|(27.61733, 2.34438, 42.88749)|move
-1|(27.61374, 2.34438, 42.80757)|move
-1|(27.61016, 2.34438, 42.72765)|move
-1|(27.60657, 2.34438, 42.64774)|move
-1|(27.60298, 2.34438, 42.56782)|move
-1|(27.5994, 2.34438, 42.4879)|move
-1|(27.59581, 2.34438, 42.40798)|move
-1|(27.59223, 2.34438, 42.32806)|move
-1|(27.58864, 2.34438, 42.24815)|move
-1|(27.58505, 2.34438, 42.16823)|move
-1|(27.58147, 2.34438, 42.08831)|move
-1|(27.57788, 2.34438, 42.00839)|move
-1|(27.5743, 2.34438, 41.92847)|move
-1|(27.57071, 2.34438, 41.84856)|move
-1|(27.56713, 2.34438, 41.76864)|move
-1|(27.56354, 2.34438, 41.68872)|move
-1|(27.55995, 2.34438, 41.6088)|move
-1|(27.55637, 2.34438, 41.52888)|move
-1|(27.55278, 2.34438, 41.44897)|move
-1|(27.5492, 2.34438, 41.36905)|move
-1|(27.54561, 2.34438, 41.28913)|move
-1|(27.54202, 2.34438, 41.20921)|move
-1|(27.53844, 2.34438, 41.1293)|move
-1|(27.53485, 2.34438, 41.04938)|move
-1|(27.53127, 2.34438, 40.96946)|move
-1|(27.52768, 2.34438, 40.88954)|move
-1|(27.5241, 2.34438, 40.80962)|move
-1|(27.52051, 2.34438, 40.72971)|move
-1|(27.51692, 2.34438, 40.64979)|move
-1|(27.51334, 2.34438, 40.56987)|move
-1|(27.50975, 2.34438, 40.48995)|move
-1|(27.50617, 2.34438, 40.41003)|move
-1|(27.50258, 2.34438, 40.33012)|move
-1|(27.49899, 2.34438, 40.2502)|move
-1|(27.49541, 2.34438, 40.17028)|move
-1|(27.49182, 2.34438, 40.09036)|move
-1|(27.48824, 2.34438, 40.01044)|move
-1|(27.48465, 2.34438, 39.93053)|move
-1|(27.48107, 2.34438, 39.85061)|move
-1|(27.47748, 2.34438, 39.77069)|move
-1|(27.47389, 2.34438, 39.69077)|move
-1|(27.47031, 2.34438, 39.61086)|move
-1|(27.46672, 2.34438, 39.53094)|move
-1|(27.46314, 2.34438, 39.45102)|move
-1|(27.45955, 2.34438, 39.3711)|move
-1|(27.45597, 2.34438, 39.29118)|move
-1|(27.45238, 2.34438, 39.21127)|move
-1|(27.44879, 2.34438, 39.13135)|move
-1|(27.44521, 2.34438, 39.05143)|move
-1|(27.44162, 2.34438, 38.97151)|move
-1|(27.43804, 2.34438, 38.89159)|move
-1|(27.43445, 2.34438, 38.81168)|move
-1|(27.43086, 2.34438, 38.73176)|move
-1|(27.42728, 2.34438, 38.65184)|move
-1|(27.42369, 2.34438, 38.57192)|move
-1|(27.42011, 2.34438, 38.492)|move
-1|(27.41652, 2.34438, 38.41209)|move
-1|(27.41294, 2.34438, 38.33217)|move
-1|(27.40935, 2.34438, 38.25225)|move
-1|(27.40576, 2.34438, 38.17233)|move
-1|(27.40218, 2.34438, 38.09241)|move
-1|(27.39859, 2.34438, 38.0125)|move
-1|(27.39501, 2.34438, 37.93258)|move
-1|(27.39142, 2.34438, 37.85266)|move
-1|(27.38783, 2.34438, 37.77274)|move
-1|(27.38425, 2.34438, 37.69283)|move
-1|(27.38066, 2.34438, 37.61291)|move
-1|(27.37708, 2.34438, 37.53299)|move
-1|(27.37349, 2.34438, 37.45307)|move
-1|(27.36991, 2.34438, 37.37315)|move
-1|(27.36632, 2.34438, 37.29324)|move
-1|(27.36273, 2.34438, 37.21332)|move
-1|(27.35915, 2.34438, 37.1334)|move
-1|(27.35556, 2.34438, 37.05348)|move
-1|(27.35198, 2.34438, 36.97356)|move
-1|(27.34839, 2.34438, 36.89365)|move
-1|(27.3448, 2.34438, 36.81373)|move
-1|(27.34122, 2.34438, 36.73381)|move
-1|(27.33763, 2.34438, 36.65389)|move
-1|(27.33405, 2.34438, 36.57397)|move
-1|(27.33046, 2.34438, 36.49406)|move
-1|(27.32687, 2.34438, 36.41414)|move
-1|(27.32328, 2.34438, 36.33422)|move
-1|(27.3197, 2.34438, 36.2543)|move
-1|(27.31611, 2.34438, 36.17439)|move
-1|(27.31252, 2.34438, 36.09447)|move
-1|(27.30894, 2.34438, 36.01455)|move
-1|(27.30535, 2.34438, 35.93463)|move
-1|(27.30447, 2.34438, 35.91491)|move
-1|(27.30088, 2.34438, 35.83499)|move
-1|(27.29729, 2.34438, 35.75507)|move
-1|(27.29371, 2.34438, 35.67516)|move
-1|(27.29012, 2.34438, 35.59524)|move
-1|(27.28654, 2.34438, 35.51532)|move
-1|(27.28295, 2.34438, 35.4354)|move
-1|(27.27937, 2.34438, 35.35548)|move
-1|(27.27578, 2.34438, 35.27557)|move
-1|(27.27219, 2.34438, 35.19565)|move
-1|(27.26861, 2.34438, 35.11573)|move
-1|(27.26502, 2.34438, 35.03581)|move
-1|(27.26144, 2.34438, 34.95589)|move
-1|(27.25785, 2.34438, 34.87598)|move
-1|(27.25426, 2.34438, 34.79606)|move
-1|(27.25313, 2.34438, 34.77075)|move
-1|(27.24954, 2.34438, 34.69083)|move
-1|(27.24596, 2.34438, 34.61092)|move
-1|(27.24237, 2.34438, 34.531)|move
-1|(27.23878, 2.34438, 34.45108)|move
-1|(27.2352, 2.34438, 34.37116)|move
-1|(27.23161, 2.34438, 34.29124)|move
-1|(27.22803, 2.34438, 34.21133)|move
-1|(27.22444, 2.34438, 34.13141)|move
-1|(27.22086, 2.34438, 34.05149)|move
-1|(27.21727, 2.34438, 33.97157)|move
-1|(27.21368, 2.34438, 33.89165)|move
-1|(27.2101, 2.34438, 33.81174)|move
-1|(27.20651, 2.34438, 33.73182)|move
-1|(27.20293, 2.34438, 33.6519)|move
-1|(27.19934, 2.34438, 33.57198)|move
-1|(27.19575, 2.34438, 33.49207)|move
-1|(27.19217, 2.34438, 33.41215)|move
-1|(27.18858, 2.34438, 33.33223)|move
-1|(27.18812, 2.34438, 33.32193)|move
-1|(27.18453, 2.34438, 33.24201)|move
-1|(27.18095, 2.34438, 33.16209)|move
-1|(27.17736, 2.34438, 33.08217)|move
-1|(27.17377, 2.34438, 33.00225)|move
-1|(27.17019, 2.34438, 32.92234)|move
-1|(27.1666, 2.34438, 32.84242)|move
-1|(27.16302, 2.34438, 32.7625)|move
-1|(27.15943, 2.34438, 32.68258)|move
-1|(27.15585, 2.34438, 32.60266)|move
-1|(27.15226, 2.34438, 32.52275)|move
-1|(27.14867, 2.34438, 32.44283)|move
-1|(27.14509, 2.34438, 32.36291)|move
-1|(27.1415, 2.34438, 32.28299)|move
-1|(27.13792, 2.34438, 32.20308)|move
-1|(27.13433, 2.34438, 32.12316)|move
-1|(27.13074, 2.34438, 32.04324)|move
-1|(27.12716, 2.34438, 31.96332)|move
-1|(27.12357, 2.34438, 31.8834)|move
-1|(27.11998, 2.34438, 31.80348)|move
-1|(27.11852, 2.34438, 31.77075)|move
-1|(27.11493, 2.34438, 31.69083)|move
-1|(27.11134, 2.34438, 31.61091)|move
-1|(27.10776, 2.34438, 31.53099)|move
-1|(27.10417, 2.34438, 31.45107)|move
299|(27.10372, 2.34438, 31.44087)|move
300|(27.1035, 2.34438, 31.44087)|move
-1|(27.05001, 2.34438, 31.38139)|move
-1|(26.99652, 2.34438, 31.3219)|move
-1|(26.94302, 2.34438, 31.26241)|move
-1|(26.88953, 2.34438, 31.20293)|move
-1|(26.83604, 2.34438, 31.14344)|move
-1|(26.78255, 2.34438, 31.08395)|move
-1|(26.72906, 2.34438, 31.02447)|move
-1|(26.67557, 2.34438, 30.96498)|move
-1|(26.62207, 2.34438, 30.90549)|move
-1|(26.56858, 2.34438, 30.84601)|move
-1|(26.51509, 2.34438, 30.78652)|move
-1|(26.4616, 2.34438, 30.72704)|move
-1|(26.40811, 2.34438, 30.66755)|move
-1|(26.35462, 2.34438, 30.60806)|move
-1|(26.30113, 2.34438, 30.54857)|move
-1|(26.30064, 2.34438, 30.54803)|move
-1|(26.24715, 2.34438, 30.48855)|move
-1|(26.19366, 2.34438, 30.42906)|move
-1|(26.14017, 2.34438, 30.36957)|move
-1|(26.08667, 2.34438, 30.31009)|move
-1|(26.03318, 2.34438, 30.2506)|move
-1|(25.97969, 2.34438, 30.19111)|move
-1|(25.9262, 2.34438, 30.13163)|move
-1|(25.87271, 2.34438, 30.07214)|move
-1|(25.81922, 2.34438, 30.01266)|move
-1|(25.76572, 2.34438, 29.95317)|move
-1|(25.71223, 2.34438, 29.89368)|move
-1|(25.65874, 2.34438, 29.8342)|move
-1|(25.60525, 2.34438, 29.77471)|move
-1|(25.55176, 2.34438, 29.71522)|move
-1|(25.49827, 2.34438, 29.65574)|move
-1|(25.44477, 2.34438, 29.59625)|move
-1|(25.39128, 2.34438, 29.53676)|move
-1|(25.33779, 2.34438, 29.47728)|move
-1|(25.2843, 2.34438, 29.41779)|move
-1|(25.23081, 2.34438, 29.3583)|move
-1|(25.17732, 2.34438, 29.29882)|move
-1|(25.12383, 2.34438, 29.23933)|move
-1|(25.07033, 2.34438, 29.17985)|move
-1|(25.01684, 2.34438, 29.12036)|move
-1|(24.96335, 2.34438, 29.06087)|move
-1|(24.90986, 2.34438, 29.00139)|move
-1|(24.85637, 2.34438, 28.9419)|move
-1|(24.80288, 2.34438, 28.88241)|move
-1|(24.74938, 2.34438, 28.82293)|move
-1|(24.69589, 2.34438, 28.76344)|move
-1|(24.6424, 2.34438, 28.70395)|move
-1|(24.58891, 2.34438, 28.64447)|move
-1|(24.53542, 2.34438, 28.58498)|move
-1|(24.48193, 2.34438, 28.5255)|move
-1|(24.42843, 2.34438, 28.46601)|move
-1|(24.37494, 2.34438, 28.40652)|move
-1|(24.32145, 2.34438, 28.34704)|move
-1|(24.26796, 2.34438, 28.28755)|move
-1|(24.21447, 2.34438, 28.22806)|move
-1|(24.16098, 2.34438, 28.16858)|move
-1|(24.10748, 2.34438, 28.10909)|move
-1|(24.05399, 2.34438, 28.0496)|move
-1|(24.0005, 2.34438, 27.99012)|move
-1|(23.94701, 2.34438, 27.93063)|move
-1|(23.89352, 2.34438, 27.87115)|move
-1|(23.84003, 2.34438, 27.81166)|move
-1|(23.78654, 2.34438, 27.75217)|move
-1|(23.73304, 2.34438, 27.69269)|move
-1|(23.67955, 2.34438, 27.6332)|move
-1|(23.62606, 2.34438, 27.57371)|move
-1|(23.57257, 2.34438, 27.51423)|move
-1|(23.51908, 2.34438, 27.45474)|move
-1|(23.46559, 2.34438, 27.39525)|move
-1|(23.41209, 2.34438, 27.33577)|move
-1|(23.3586, 2.34438, 27.27628)|move
-1|(23.30511, 2.34438, 27.21679)|move
-1|(23.25162, 2.34438, 27.15731)|move
-1|(23.19813, 2.34438, 27.09782)|move
-1|(23.14464, 2.34438, 27.03834)|move
-1|(23.09114, 2.34438, 26.97885)|move
-1|(23.03765, 2.34438, 26.91936)|move
-1|(22.98416, 2.34438, 26.85988)|move
-1|(22.93067, 2.34438, 26.80039)|move
-1|(22.87718, 2.34438, 26.7409)|move
-1|(22.82369, 2.34438, 26.68142)|move
-1|(22.7702, 2.34438, 26.62193)|move
-1|(22.7167, 2.34438, 26.56244)|move
-1|(22.66321, 2.34438, 26.50296)|move
-1|(22.60972, 2.34438, 26.44347)|move
-1|(22.55623, 2.34438, 26.38398)|move
-1|(22.50274, 2.34438, 26.3245)|move
-1|(22.44925, 2.34438, 26.26501)|move
-1|(22.39576, 2.34438, 26.20552)|move
-1|(22.34227, 2.34438, 26.14603)|move
-1|(22.28878, 2.34438, 26.08655)|move
-1|(22.25326, 2.34438, 26.04705)|move
-1|(22.19977, 2.34438, 25.98756)|move
-1|(22.14628, 2.34438, 25.92808)|move
-1|(22.09279, 2.34438, 25.86859)|move
-1|(22.0393, 2.34438, 25.8091)|move
-1|(21.9858, 2.34438, 25.74962)|move
-1|(21.93231, 2.34438, 25.69013)|move
-1|(21.87882, 2.34438, 25.63065)|move
-1|(21.82533, 2.34438, 25.57116)|move
-1|(21.77184, 2.34438, 25.51167)|move
-1|(21.71835, 2.34438, 25.45219)|move
-1|(21.66485, 2.34438, 25.3927)|move
-1|(21.61136, 2.34438, 25.33321)|move
-1|(21.55787, 2.34438, 25.27373)|move
-1|(21.50438, 2.34438, 25.21424)|move
-1|(21.45089, 2.34438, 25.15475)|move
-1|(21.3974, 2.34438, 25.09527)|move
-1|(21.3439, 2.34438, 25.03578)|move
-1|(21.29041, 2.34438, 24.9763)|move
-1|(21.23692, 2.34438, 24.91681)|move
-1|(21.18343, 2.34438, 24.85732)|move
-1|(21.12994, 2.34438, 24.79784)|move
-1|(21.07645, 2.34438, 24.73835)|move
-1|(21.02295, 2.34438, 24.67886)|move
-1|(20.96946, 2.34438, 24.61938)|move
-1|(20.91597, 2.34438, 24.55989)|move
-1|(20.86248, 2.34438, 24.5004)|move
-1|(20.80899, 2.34438, 24.44092)|move
-1|(20.7555, 2.34438, 24.38143)|move
-1|(20.70201, 2.34438, 24.32195)|move
-1|(20.64851, 2.34438, 24.26246)|move
-1|(20.59502, 2.34438, 24.20297)|move
